local_health_board,facility,Notes on Geolocation Matching,post_code,lat,long
Betsi Cadwaladr University Health Board (1),Ysbyty Glan Clwyd,,LL18 5UJ,53.272323,-3.496123
Betsi Cadwaladr University Health Board (1),Abergele Hospital,,LL22 8DP,53.266546,-3.580222
Betsi Cadwaladr University Health Board (1),Wrexham Maelor Hospital,,LL13 7TD,53.047137,-3.008882
Betsi Cadwaladr University Health Board (1),Chirk Community Hospital,,LL14 5LN,52.943547,-3.052483
Betsi Cadwaladr University Health Board (1),Colwyn Bay Community Hospital,,LL29 8AY,53.2882999,-3.7102514
Betsi Cadwaladr University Health Board (1),Denbigh Community Hospital,,LL16 3ES,53.186184,-3.409787
Betsi Cadwaladr University Health Board (1),Holywell Community Hospital,,CH8 7TZ,53.269272,-3.216516
Betsi Cadwaladr University Health Board (1),Mold Community Hospital,,CH7 1XG,53.169715,-3.148059
Betsi Cadwaladr University Health Board (1),Ruthin Community Hospital,,LL15 1PS,53.113133,-3.303775
Betsi Cadwaladr University Health Board (1),Ysbyty Gwynedd,,LL57 2PW,53.209087,-4.160024
Betsi Cadwaladr University Health Board (1),Llandudno General Hospital,,LL30 1LB,53.311457,-3.827885
Betsi Cadwaladr University Health Board (1),Bryn Beryl Hospital,,LL53 6TT,52.912131,-4.394588
Betsi Cadwaladr University Health Board (1),Dolgellau And Barmouth District Hospital,,LL40 1NT,52.740741,-3.881717
Betsi Cadwaladr University Health Board (1),Tywyn & District War Memorial Hospital,,LL36 9HH,52.584108,-4.081361
Betsi Cadwaladr University Health Board (1),Ysbyty Alltwen,,LL49 9AQ,52.940555,-4.149549
Betsi Cadwaladr University Health Board (1),Deeside Community Hospital,,CH5 1XS,53.20243,-3.041442
Betsi Cadwaladr University Health Board (1),Penley Hospital,,LL13 0LH,52.954021,-2.870229
Betsi Cadwaladr University Health Board (1),Ysbyty Penrhos Stanley,,LL65 2QA,53.304221,-4.615743
Betsi Cadwaladr University Health Board (1),Cefni Hospital,,LL77 7PP,53.256591,-4.304343
Betsi Cadwaladr University Health Board (1),Eryri Hospital,,LL55 2YE,53.130181,-4.262679
Betsi Cadwaladr University Health Board (1),Ablett Unit,,LL18 5UJ,53.270054,-3.497287
Betsi Cadwaladr University Health Board (1),Tan-y-Castell (rehabilitation unit),,LL15 1LE,53.110716,-3.322707
Betsi Cadwaladr University Health Board (1),Ysbyty Gwynedd (psychiatric),,LL57 2PW,53.209017,-4.159681
Betsi Cadwaladr University Health Board (1),Bryn-y-Neuadd Hospital,,LL33 0HH,53.251916,-3.985161
Betsi Cadwaladr University Health Board (1),North Wales Cancer Treatment Centre,,LL18 5UJ,53.271191,-3.496968
Powys Teaching Health Board (1),Llandrindod Wells Hospital,,LD1 5HF,52.243465,-3.37701
Powys Teaching Health Board (1),Llanidloes And District War Memorial Hospital,,SY18 6HF,52.45249,-3.539543
Powys Teaching Health Board (1),Bro Ddyfi Community Hospital,,SY20 8AD,52.591629,-3.845604
Powys Teaching Health Board (1),Montgomeryshire County Infirmary,,SY16 2DW,52.520904,-3.314424
Powys Teaching Health Board (1),Victoria Memorial Hospital,,SY21 7DU,52.662427,-3.143725
Powys Teaching Health Board (1),Breconshire War Memorial Hospital,,LD3 7NS,51.948865,-3.384742
Powys Teaching Health Board (1),Knighton Hospital,,LD7 1DF,52.342188,-3.049775
Powys Teaching Health Board (1),Bronllys Hospital,,LD3 0LU,52.008256,-3.259676
Powys Teaching Health Board (1),Ystradgynlais Community Hospital,,SA9 1AU,51.767215,-3.764636
Hywel Dda University Health Board,Glangwili General Hospital,,SA31 2AF,51.868152,-4.284095
Hywel Dda University Health Board,Llandovery Hospital,,SA20 0LA,51.998789,-3.796926
Hywel Dda University Health Board,Bronglais General Hospital,,SY23 1ER,52.41612,-4.071663
