"","","","","2018-19 (2)"
"Wales ","","","",10563.716665
"Wales ","Betsi Cadwaladr University Health Board (1)","","",2220.710833
"","Betsi Cadwaladr University Health Board (1)","Coed Llys Mental Health Resource Centre ","","."
"","","Ysbyty Glan Clwyd ","",450.875
"","","Abergele Hospital ","",36
"","","H M Stanley Hospital ","","."
"","","Wrexham Maelor Hospital ","",610.616667
"","","Royal Alexandra Hospital ","","."
"","","Chirk Community Hospital ","",30.966667
"","","Colwyn Bay Community Hospital ","",44.991667
"","","Denbigh Community Hospital ","",24.408333
"","","Flint Community Hospital ","","."
"","","Holywell Community Hospital ","",44.258333
"","","Llangollen Community Hospital ","","."
"","","Mold Community Hospital ","",39.891667
"","","Prestatyn Community Hospital ","","."
"","","Ruthin Community Hospital ","",26.641667
"","","Ysbyty Gwynedd ","",463.016666
"","","Llandudno General Hospital ","",74.15
"","","Bryn Beryl Hospital ","",24.283333
"","","Dolgellau And Barmouth District Hospital ","",20.016667
"","","Ffestiniog Memorial Hospital ","","."
"","","Tywyn & District War Memorial Hospital ","",10.666667
"","","Ysbyty Alltwen ","",20.866667
"","","Deeside Community Hospital ","",44.075
"","","Penley Hospital ","",5.308333
"","","Ysbyty Penrhos Stanley ","",33.341667
"","","Cefni Hospital ","",13.308333
"","","Eryri Hospital ","",33.75
"","","Dryll Y Car ","","."
"","","South Clwyd Intensive Rehabilitation Unit ","","."
"","","Ablett Unit ","",41.816667
"","","Tan-y-Castell ","",8
"","","Ysbyty Gwynedd (psychiatric) ","",40.058333
"","","Bryn-y-Neuadd Hospital ","",58.7525
"","","North Wales Cancer Treatment Centre ","",20.65
"","","North Wales activity not at a hospital site ","","."
"","","North Wales activity outside the Trust ","","."
"","","Bronygarth Hospital ","","."
"","Powys Teaching Health Board (1)","","",214.083333
"","Powys Teaching Health Board (1)","Llandrindod Wells Hospital ","",33
"","","Llanidloes And District War Memorial Hospital ","",10.083333
"","","Bro Ddyfi Community Hospital ","",14
"","","Montgomeryshire County Infirmary ","",16.083333
"","","Victoria Memorial Hospital ","",22.833333
"","","Breconshire War Memorial Hospital ","",42.75
"","","Builth Wells Cottage Hospital ","","."
"","","Knighton Hospital ","",12.25
"","","Bronllys Hospital ","",35.166667
"","","Ystradgynlais Community Hospital ","",27.916667
"","Hywel Dda University Health Board ","","",1208.010834
"","Hywel Dda University Health Board ","Glangwili General Hospital ","",382.249998
"","","Llandovery Hospital ","",16
"","","Bronglais General Hospital ","",160.833333
"","","Cardigan And District Memorial Hospital ","","."
"","","Prince Philip Hospital ","",212.583335
"","","Withybush General Hospital ","",229.735835
"","","Tregaron Hospital ","",12
"","","Mynydd Mawr Hospital ","","."
"","","Amman Valley Hospital ","",28
"","","S. Pembs Hosp. Health & Social Care Res Centre ","",35
"","","Haverfordwest Mental Health Unit ","",30
"","","Hafen Derwen (St Davids Hospital) ","",35.608333
"","","Carmarthen Mental Health Unit ","",10
"","","Aberystwyth Mental Health Unit ","",7
"","","Caebryn Mental Health Unit ","",33
"","","Ty Bryngwyn Mawr ","",6
"","","Hywel Dda Activity not at a hospital site ","",10
"","Aneurin Bevan University Health Board ","","",1773.142496
"","Aneurin Bevan University Health Board ","Nevill Hall Hospital ","",381.624166
"","","Royal Gwent Hospital ","",724.065831
"","","County Hospital ","",89.5525
"","","St Woolos Community ","",87.936666
"","","Ysbyty Aneurin Bevan ","",93.449167
"","","Ysbyty Ystrad Fawr ","",199.684166
"","","Monnow Vale Health & Social Care Facility ","",19
"","","Caerphilly District Miners Hospital ","","."
"","","Aberbargoed & District Hospital ","","."
"","","Redwood Memorial Hospital ","","."
"","","Chepstow Community Hospital ","",32.679167
"","","Blaina And District Hospital ","","."
"","","Blaenavon Health Care Unit ","","."
"","","Ystrad Mynach Hospital ","","."
"","","Tredegar General Hospital ","","."
"","","St Cadoc's Hospital ","",52.008333
"","","Maindiff Court Hospital ","",15
"","","Ty-sirhowy Mental Illness Unit ","","."
"","","Dan-y-bryn Mental Health ","","."
"","","Ysbyty Tri Chwm ","",14.833333
"","","Bridge View House LD House ","",1.975833
"","","Homelands L.D House ","",2.075
"","","Twyn Glas (L.D.) ","",3.626667
"","","Llanfrechfa Grange Hospital ","",5.533333
"","","Lamb House (L.D.) ","",5
"","","Mitchell Close ","",2.870833
"","","St Woolos other ","",31.086667
"","","Gwent activity not at a Hospital site ","","."
"","","Gwent activity outside the Trust ","",0.15
"","","Rhymney Integrated Health and Social Care Centre ","",10.990833
"","","Oakdale Hospital ","","."
"","Cardiff and Vale University Health Board ","","",1746.97417
"","Cardiff and Vale University Health Board ","University Hospital Of Wales ","",941.3275
"","","Cardiff Royal Infirmary (West Wing) ","","."
"","","Rookwood Hospital ","",47.994167
"","","University Hospital Llandough ","",399.11167
"","","The Barry Hospital ","",22.9975
"","","St Davids Community Hospital ","",53.5975
"","","Whitchurch Hospital ","",13.944167
"","","Monmouth House ","","."
"","","Mental Health at Llandough Hospital ","",244.001667
"","","Mental Health at Barry Hospital ","",16
"","","Pen -yr-Ynys ","","."
"","","Wordsworth Mental Health Rehabilitation Unit ","",8
"","","Iorwerth Jones Centre ","","."
"","Abertawe Bro Morgannwg University Health Board ","Abertawe Bro Morgannwg University Health Board ","",2150.108331
"","","Abertawe Bro Morgannwg University Health Board ","Singleton Hospital ",345.833334
"","","","Meadow Court (Learning Disabilities) ",5
"","","","Llwyneryr Hospital ",13
"","","","Hafod y Wennol (Hensol Hospital) ",8
"","","","Tonna Hospital ",44.333333
"","","","Ty Garn Goch (Day Hospital) ","."
"","","","Cefn Coed Hospital ",119
"","","","Gorseinon Hospital ",36.166666
"","","","Cymla Hospital ","."
"","","","Gellinudd Hospital ","."
"","","","Neath Port Talbot Hospital ",191.558332
"","","","Morriston Hospital ",725.149999
"","","","Hill House Hospital ","."
"","","","Fairwood Hospital ","."
"","","","Ty Garth Newydd (Learning Disabilites) ",5
"","","","Swn y Nant (Learning Disabilities) ",5
"","","","Brynafon Learning Disabilities Unit ",4.583333
"","","","Ely Houses ",24.333333
"","Cwm Taf University Health Board ","Cwm Taf University Health Board ","",1210.686668
"","","Cwm Taf University Health Board ","Princess Of Wales Hospital ",397.833332
"","","","Glanrhyd Hospital ",33.091667
"","","","Dan y Bont (Learning Disabilites) ",5
"","","","Caswell Clinic , South Wales Forensic&psychiatric ",61.025
"","","","Maesteg General Hospital ",19.891667
"","","","Cefn Yr Afon ",18
"","","","Croeso Centre (Maesgwyn Hospital) ","."
"","","","Taith Newydd (Mental Illness) ",28
"","","","Hafod Newydd (Harvey Jones Unit) ","."
"","","","Ty Llidiard ",16
"","","","Coity Clinic ",60.308333
